Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
53	3305.889	1621.7914	4653.2783	348.77542	4817.865	136.86441	5027.3867	4607.365	869.3333	1000.0	529999	218.76836	86.596634	348.21683	-156.58997	218.76822	86.589516	349.53513	-173.12256	0.40023705	3.8859556	91.58055	-16.666914	-219.0247	83.27154	13158.14997959137
54	3753.8596	1211.327	4655.33	1191.8723	5226.2534	134.89719	5453.519	5033.4917	896.36365	1000.0	539999	215.04677	94.39857	351.6053	-195.38658	215.04588	94.39609	353.45523	-164.44836	0.37639964	4.0717025	92.86622	-18.389141	-215.3079	80.152245	13490.058502912521
55	3473.414	1230.2737	4647.0674	676.64923	3832.65	1675.7487	5398.692	238.77257	881.0909	884.4	549999	214.05528	99.88313	354.13303	-207.33952	214.05527	99.87996	357.49387	-136.53055	0.35938472	4.1554866	118.39186	-14.784489	-214.3251	80.04601	13820.245932340622
56	3657.42	1255.1233	4736.011	1144.514	4569.8213	1103.3241	5195.364	1331.0867	847.1667	918.1	559999	215.31953	103.866875	361.3818	-164.34702	215.31924	103.86566	361.12064	-209.81885	0.41779146	4.2048187	121.46587	-14.820696	-215.5859	80.81508	14145.457950353622
57	3664.0427	1465.6216	4766.5376	448.90463	4606.6084	1282.5078	5375.918	1175.7722	792.5	923.4	569999	218.01186	106.31957	363.42526	-190.30345	218.0113	106.316315	365.19077	-306.232	0.4557295	4.2155857	128.91951	-16.918583	-218.27792	81.29145	14461.857009410858
58	4230.5093	1339.243	4923.2856	22.080936	4749.0376	1461.1644	5532.085	393.14175	910.5455	909.3	579999	220.84831	107.966736	362.95645	-166.98366	220.84778	107.96364	364.89395	-181.52843	0.50911725	4.2297196	116.95834	-15.832588	-221.09035	83.323044	14765.895885705948
59	4037.887	1308.121	4859.691	255.63719	4251.532	1707.3832	5349.654	112.94988	885.9167	904.3	589999	223.29016	109.40702	366.47528	-212.2669	223.28947	109.4083	368.8038	-344.19897	0.57098275	4.2486353	116.52176	-17.995338	-223.52036	83.76575	15054.526123523712
60	4242.0654	976.5877	4920.142	1380.4227	5036.133	699.35944	5542.7905	2984.5254	915.2727	952.5	599999	226.46991	110.825165	369.8656	-171.32928	226.4693	110.82433	371.45126	-160.65474	0.65234625	4.2609553	119.360275	-19.195427	-226.69376	85.385735	15340.220039129257
61	3745.9954	1666.7646	4960.3135	115.89501	5120.8022	83.513756	5272.366	4983.7197	839.4545	1000.0	609999	228.99411	112.12486	373.88177	-170.52838	228.99367	112.12443	375.32382	-218.98508	0.6791201	4.255974	114.73032	-14.016896	-229.19635	84.928635	15612.001090288162
62	4051.4749	1068.7783	4865.0547	1566.1509	4874.079	781.00214	5422.0054	2609.5085	874.6667	951.6	619999	231.81853	113.299995	378.58838	-377.83194	231.81755	113.302345	374.26855	-304.05228	0.6645749	4.2625017	120.57501	-16.110823	-232.01096	83.55474	15868.951330661774
63	4619.8926	477.43918	5122.749	3342.4265	5399.2036	146.13782	5642.887	5110.713	969.7	1000.0	629999	234.54434	114.30737	378.8893	-120.90117	234.5435	114.30769	380.6291	-222.08975	0.7547706	4.2949815	80.686134	-14.804953	-234.73822	86.3669	16130.335842132568
64	3864.011	1396.4442	5070.3867	1140.7386	4536.888	2007.0233	5811.194	65.69456	813.0833	824.0	639999	238.07436	115.61092	422.50537	-177.5909	238.07433	115.60933	417.2512	-186.17963	0.87734497	4.342262	114.04275	-14.968447	-238.27985	91.51868	16397.8677380085
65	4656.174	416.41223	5023.4644	3421.8538	4878.917	104.196144	5037.6836	4677.3174	972.9091	1000.0	649999	240.91911	117.769936	447.4891	-151.70532	240.91835	117.771866	437.15292	-181.29617	0.8760874	4.2745724	98.644066	-17.454506	-241.0664	90.5982	16664.119451522827
66	3643.5369	1515.8895	5088.59	1224.1793	5083.232	934.63904	5721.897	2318.9214	766.3077	943.9	659999	243.28778	117.9126	387.19473	-201.8125	243.28809	117.91494	385.3409	-322.06653	0.81834054	4.26268	81.11285	-16.000967	-243.4327	89.58519	16918.99436545372
67	3875.152	1609.8691	4982.453	964.15894	5159.448	420.19962	5602.1265	4114.595	810.5	980.2	669999	246.51682	118.099884	388.2617	-228.3394	246.51712	118.10195	393.47055	-252.41495	0.91398543	4.3469443	93.745804	-14.837734	-246.6748	92.47102	17176.84643292427
68	3773.5042	1740.4889	5087.3438	50.3231	2069.5825	1797.5859	5278.525	39.54312	786.61536	443.7	679999	249.14668	118.75187	395.9213	-503.78885	249.14632	118.75602	391.72202	-294.27377	0.9676024	4.3496547	123.98809	-14.170675	-249.28787	91.95897	17427.327294111252
69	3298.8694	1835.421	5139.4995	299.34503	4928.934	1538.3954	5638.7446	331.61166	903.36365	909.4	689999	251.36382	120.30065	495.684	-207.55167	251.36322	120.300835	492.5457	-181.0382	0.9826364	4.3571334	119.651825	-15.232792	-251.51273	95.02271	17685.178734064102
70	4601.0977	580.88715	5098.1685	2937.528	5057.963	880.0573	5647.223	2602.1917	959.6	1000.0	699999	254.41522	122.08694	628.91583	-200.83691	254.41463	122.088974	631.882	-203.6935	1.0079086	4.322724	142.75705	-14.512991	-254.5753	97.74494	17950.0782494545
71	3668.925	1844.8494	4970.2373	115.218025	2954.266	2478.814	5239.235	-1338.6143	824.25	843.5	709999	257.75085	124.36756	815.1448	-262.3848	257.75058	124.36831	806.6493	-256.90744	1.0941545	4.4213104	93.300575	-16.457504	-257.92725	108.08482	18273.42203426361
72	1289.8196	2492.0193	5170.4634	-1629.3546	-37.27766	379.54907	833.6289	-489.91296	965.7273	813.2	719999	264.13223	132.75015	939.27374	-193.86095	264.1303	132.74405	949.4659	-168.67401	1.2836066	4.586311	118.974945	-14.949443	-264.50415	151.559	18589.908835172653
73	317.00583	1550.2969	4415.2603	-746.44434	4411.9272	1167.2809	5281.5693	2040.68	934.7	887.9	729999	276.25378	137.49313	785.8714	-267.9882	276.25363	137.49348	786.0755	-167.9276	1.1833317	4.4174123	91.855	-14.615606	-276.62537	130.18576	18891.675154924393
74	4114.804	1327.7261	5045.9604	1063.0774	5486.969	130.46097	5656.8223	5259.4453	1000.0	1000.0	739999	269.3845	130.5747	441.8274	-235.32784	269.38513	130.57678	440.20023	-270.8788	1.0100015	4.342822	131.34534	-14.397945	-269.4926	103.0028	19191.896634817123
75	4921.129	119.85132	5110.5405	4690.6816	4017.0938	2447.5066	5808.8613	103.88128	1000.0	720.5	749999	264.8066	126.98332	411.5347	-191.68901	264.8065	126.98614	411.61914	-182.204	1.0375403	4.357924	118.00246	-16.500906	-264.92667	99.00856	19490.239078760147
76	4182.9854	1426.9803	5166.0137	524.12067	5408.3384	119.28103	5528.538	5191.7627	880.25	993.2	759999	263.594	126.44703	405.28976	-239.66423	263.59323	126.4513	407.92075	-232.56563	1.0448718	4.326918	72.60347	-14.450123	-263.72916	94.366615	19780.670929908752
77	4828.88	365.8785	5097.141	3996.138	5534.544	141.0736	5763.4414	5215.582	979.4	1000.0	769999	265.0011	126.27089	409.1283	-267.6692	265.00153	126.272255	410.4134	-286.0913	1.1149668	4.351162	138.46645	-13.995274	-265.13498	95.37559	20041.34028339386
78	4409.27	1430.9568	5293.7363	904.86084	5583.2876	56.450184	5654.5386	5479.114	874.7273	1000.0	779999	266.7517	126.416	410.91675	-205.71558	266.75085	126.41765	412.0252	-214.68092	1.1116815	4.3005505	75.28617	-13.959757	-266.8607	93.33899	20302.891441345215
79	4695.7266	815.38995	5164.781	2150.459	5314.1113	107.140175	5481.1753	5143.8716	950.5455	1000.0	789999	268.18277	126.3063	411.03452	-329.11014	268.1831	126.30699	413.14667	-234.0585	1.179327	4.3283195	116.88945	-15.230397	-268.29614	98.7434	20572.32496905327
80	4450.356	1316.3892	5190.6675	990.57043	5578.6357	77.20444	5698.7515	5440.684	883.63635	1000.0	799999	271.26474	126.76286	412.07626	-205.30305	271.2646	126.76252	418.60593	-165.7353	1.2160586	4.3165135	103.86863	-15.964906	-271.39047	95.4521	20845.49770641327
81	5057.6406	134.90236	5287.2524	4793.3574	4594.8257	1452.7988	5892.2363	2147.6655	1000.0	814.9	809999	273.2161	127.61815	414.3501	-228.67368	273.21582	127.61746	416.44724	-298.4811	1.2666312	4.3513227	82.58734	-17.131609	-273.3115	96.723564	21107.415424108505
82	5080.809	158.70523	5398.642	4778.464	5169.1455	968.9771	5647.415	2274.3118	1000.0	943.7	819999	275.22763	127.49389	416.02582	-323.27084	275.2279	127.493774	418.27304	-237.51257	1.3052838	4.3631473	140.25153	-16.946165	-275.30737	95.37845	21369.220756292343
